"riding_code","forecast_winner"
10001,"LPC"
10002,"LPC"
10003,"LPC"
10004,"LPC"
10005,"LPC"
10006,"LPC"
10007,"LPC"
11001,"LPC"
11002,"LPC"
11003,"LPC"
11004,"LPC"
12001,"LPC"
12002,"LPC"
12003,"LPC"
12004,"LPC"
12005,"LPC"
12006,"LPC"
12007,"LPC"
12008,"LPC"
12009,"LPC"
12010,"LPC"
12011,"LPC"
13001,"LPC"
13002,"LPC"
13003,"LPC"
13004,"LPC"
13005,"LPC"
13006,"LPC"
13007,"LPC"
13008,"LPC"
13009,"LPC"
13010,"LPC"
24001,"NDP"
24002,"NDP"
24003,"LPC"
24004,"LPC"
24005,"LPC"
24006,"LPC"
24007,"CPC"
24008,"CPC"
24009,"BQ"
24010,"CPC"
24011,"NDP"
24012,"NDP"
24013,"LPC"
24014,"BQ"
24015,"LPC"
24016,"LPC"
24017,"LPC"
24018,"NDP"
24019,"CPC"
24020,"CPC"
24021,"LPC"
24022,"LPC"
24023,"LPC"
24024,"LPC"
24025,"NDP"
24026,"LPC"
24027,"LPC"
24028,"NDP"
24029,"LPC"
24030,"LPC"
24031,"BQ"
24032,"NDP"
24033,"BQ"
24034,"LPC"
24035,"CPC"
24036,"LPC"
24037,"LPC"
24038,"LPC"
24039,"NDP"
24040,"LPC"
24041,"LPC"
24042,"CPC"
24043,"NDP"
24044,"LPC"
24045,"CPC"
24046,"BQ"
24047,"CPC"
24048,"BQ"
24049,"LPC"
24050,"BQ"
24051,"CPC"
24052,"LPC"
24053,"LPC"
24054,"NDP"
24055,"LPC"
24056,"LPC"
24057,"LPC"
24058,"CPC"
24059,"LPC"
24060,"BQ"
24061,"CPC"
24062,"LPC"
24063,"BQ"
24064,"NDP"
24065,"LPC"
24066,"NDP"
24067,"LPC"
24068,"LPC"
24069,"LPC"
24070,"LPC"
24071,"NDP"
24072,"LPC"
24073,"NDP"
24074,"LPC"
24075,"BQ"
24076,"NDP"
24077,"LPC"
24078,"LPC"
35001,"LPC"
35002,"NDP"
35003,"LPC"
35004,"CPC"
35005,"CPC"
35006,"LPC"
35007,"LPC"
35008,"LPC"
35009,"LPC"
35010,"LPC"
35011,"LPC"
35012,"LPC"
35013,"CPC"
35014,"CPC"
35015,"LPC"
35016,"LPC"
35017,"CPC"
35018,"LPC"
35019,"LPC"
35020,"LPC"
35021,"LPC"
35022,"CPC"
35023,"CPC"
35024,"LPC"
35025,"CPC"
35026,"NDP"
35027,"LPC"
35028,"LPC"
35029,"LPC"
35030,"CPC"
35031,"LPC"
35032,"LPC"
35033,"CPC"
35034,"CPC"
35035,"NDP"
35036,"LPC"
35037,"NDP"
35038,"LPC"
35039,"LPC"
35040,"CPC"
35041,"LPC"
35042,"LPC"
35043,"LPC"
35044,"LPC"
35045,"LPC"
35046,"CPC"
35047,"LPC"
35048,"CPC"
35049,"CPC"
35050,"CPC"
35051,"NDP"
35052,"LPC"
35053,"LPC"
35054,"LPC"
35055,"LPC"
35056,"CPC"
35057,"CPC"
35058,"LPC"
